task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
ade_corpus_v2,llama_3_8b,full,50,0.18,,,,0.0,0.17703733440385389
ade_corpus_v2,llama_3_8b,5,50,0.175,0.16363068171953574,0.0,0.6,0.0,0.17024404761904763
ade_corpus_v2,llama_3_8b,10,50,0.17600000000000002,0.10111379727811629,0.0,0.4,0.0,0.1671933621933622
ade_corpus_v2,llama_3_8b,16,50,0.1903125,0.0740295285257849,0.0625,0.31406250000000036,0.0,0.16340360233162093
ade_corpus_v2,llama_3_8b,25,50,0.18700000000000003,0.0533572862878164,0.08,0.28,0.0,0.17394948013006484
ade_corpus_v2,llama_3_8b,32,50,0.18140625,0.04349226538635922,0.09375,0.25,0.0,0.1717171984023183
ade_corpus_v2,llama_3_8b,40,50,0.18049999999999997,0.026711420778386168,0.125,0.225,0.0,0.1753056392877899
ade_corpus_v2,qwen_3_4b,full,50,0.22,,,,0.0,0.180327868852459
ade_corpus_v2,qwen_3_4b,5,50,0.198,0.16732005259382393,0.0,0.6,0.0,0.1970436507936508
ade_corpus_v2,qwen_3_4b,10,50,0.212,0.11513470371699404,0.0,0.4,0.0,0.17972818847818847
ade_corpus_v2,qwen_3_4b,16,50,0.234375,0.08722053585595539,0.0625,0.4375,0.0,0.16842080691925893
ade_corpus_v2,qwen_3_4b,25,50,0.21320000000000003,0.058255986816807076,0.12,0.32,0.0,0.17721281261959632
ade_corpus_v2,qwen_3_4b,32,50,0.2209375,0.04754828959857546,0.125,0.3125,0.0,0.17617478423247512
ade_corpus_v2,qwen_3_4b,40,50,0.21900000000000003,0.03104834939252005,0.15,0.275,0.0,0.17856474344285972
ade_corpus_v2,qwen_3_8b,full,50,0.14,,,,0.0,0.12280701754385966
ade_corpus_v2,qwen_3_8b,5,50,0.12100000000000001,0.15218081350814236,0.0,0.4,0.0,0.1261309523809524
ade_corpus_v2,qwen_3_8b,10,50,0.14300000000000002,0.10464702575802143,0.0,0.30250000000000055,0.0,0.11754495504495505
ade_corpus_v2,qwen_3_8b,16,50,0.138125,0.06512907856710395,0.06093750000000003,0.25,0.0,0.11571931164810423
ade_corpus_v2,qwen_3_8b,25,50,0.1412,0.04831728469191952,0.04,0.24,0.0,0.11794112948781331
ade_corpus_v2,qwen_3_8b,32,50,0.13890625,0.03861588434100015,0.0625,0.18828125000000018,0.0,0.11902182128807516
ade_corpus_v2,qwen_3_8b,40,50,0.140625,0.025913015552034846,0.075,0.175,0.0,0.12242468355434387
banking_77,llama_3_8b,full,50,0.14,,,,0.02,0.13873873873873874
banking_77,llama_3_8b,5,50,0.144,0.15894653189044422,0.0,0.40500000000000114,0.02,0.12425000000000001
banking_77,llama_3_8b,10,50,0.14900000000000002,0.09797448647479608,0.0,0.30250000000000055,0.02,0.1257281746031746
banking_77,llama_3_8b,16,50,0.1440625,0.06937148076659456,0.0,0.3125,0.02,0.13675587606837605
banking_77,llama_3_8b,25,50,0.1436,0.048693326031397775,0.04,0.24,0.02,0.13482355831938211
banking_77,llama_3_8b,32,50,0.136875,0.038471783491280984,0.0625,0.18828125000000018,0.02,0.14038846398377086
banking_77,llama_3_8b,40,50,0.1435,0.025401771591761067,0.1,0.175,0.02,0.13584594671901523
banking_77,qwen_3_4b,full,50,0.22,,,,0.06,0.2009009009009009
banking_77,qwen_3_4b,5,50,0.21300000000000005,0.1732945469424817,0.0,0.6,0.06,0.21362500000000004
banking_77,qwen_3_4b,10,50,0.21150000000000005,0.12457026129859407,0.0,0.5,0.06,0.23061507936507936
banking_77,qwen_3_4b,16,50,0.2290625,0.09063092653035165,0.0625,0.375,0.06,0.21258043345543345
banking_77,qwen_3_4b,25,50,0.21700000000000003,0.05476312628037227,0.12,0.32,0.06,0.2095928791015747
banking_77,qwen_3_4b,32,50,0.21796875,0.04639730553531638,0.125,0.3125,0.06,0.19579811803754207
banking_77,qwen_3_4b,40,50,0.221,0.026976841920432423,0.175,0.275,0.06,0.2038267707751773
banking_77,qwen_3_8b,full,50,0.24,,,,0.02,0.25045045045045045
banking_77,qwen_3_8b,5,50,0.22500000000000003,0.18214005600086985,0.0,0.6,0.02,0.2505833333333334
banking_77,qwen_3_8b,10,50,0.2325,0.11442792491345807,0.0,0.5,0.02,0.23986574074074077
banking_77,qwen_3_8b,16,50,0.231875,0.0865100247081227,0.0625,0.375,0.02,0.24738676739926738
banking_77,qwen_3_8b,25,50,0.23760000000000006,0.06432915357751881,0.11900000000000002,0.36,0.02,0.23903642874203512
banking_77,qwen_3_8b,32,50,0.24140625,0.045601181710976525,0.15625,0.3125,0.02,0.243495101985027
banking_77,qwen_3_8b,40,50,0.23862500000000003,0.03130470212284411,0.175,0.3,0.02,0.24808197879692884
neurips_impact_statement_risks,llama_3_8b,full,50,0.8,,,,0.0,0.7877758913412564
neurips_impact_statement_risks,llama_3_8b,5,50,0.818,0.16271447384913246,0.4,1.0,0.0,0.7488968253968252
neurips_impact_statement_risks,llama_3_8b,10,50,0.8125,0.09996874511566103,0.6,1.0,0.0,0.7676268237481473
neurips_impact_statement_risks,llama_3_8b,16,50,0.80625,0.08727650027355588,0.625,0.9390625000000004,0.0,0.7829175577950513
neurips_impact_statement_risks,llama_3_8b,25,50,0.8030000000000002,0.0558480080217728,0.68,0.92,0.0,0.778910654441892
