Dataset,Method,Model Size,Throughput (tok/s),TPOT (ms),Peak VRAM (%)
GSM8K,ICL,4B,308.6607,3.2402,5.7727
GSM8K,LoRA,4B,123.0993,8.5096,3.4060
GSM8K,ICL,8B,336.2456,3.0538,7.4812
GSM8K,LoRA,8B,142.4562,7.6129,5.9348
RAFT,ICL,4B,230.4178,6.6362,5.7911
RAFT,LoRA,4B,110.8307,9.1374,2.4746
RAFT,ICL,8B,245.8780,6.4556,8.0425
RAFT,LoRA,8B,115.2414,9.4421,5.0757
Financial Phrasebank,ICL,4B,223.1869,5.6812,5.4877
Financial Phrasebank,LoRA,4B,150.2617,7.3551,2.6638
Financial Phrasebank,ICL,8B,310.3248,5.0209,7.6401
Financial Phrasebank,LoRA,8B,156.5758,7.6054,5.2265
Superglue RTE,ICL,4B,337.7718,5.5374,5.7328
Superglue RTE,LoRA,4B,155.6237,6.5363,2.9412
Superglue RTE,ICL,8B,405.7877,4.9345,7.9261
Superglue RTE,LoRA,8B,165.4152,6.2047,5.5106
Superglue BoolQ,ICL,4B,149.7157,6.6819,5.7726
Superglue BoolQ,LoRA,4B,106.1114,10.4208,4.4733
Superglue BoolQ,ICL,8B,167.8682,5.9889,7.9834
Superglue BoolQ,LoRA,8B,132.4356,9.2896,7.2078
