dataset,N,avg_input_tokens,max_input_tokens,utilization,truncation_rate,latency,tpot
financial_phrasebank,16,1213.6047,1268.1667,0.956976,0.000000,66.9393,1.5452
financial_phrasebank,32,2210.4133,2344.3333,0.942875,1.000000,54.6258,6.8282
financial_phrasebank,64,4191.5107,4241.5000,0.988214,1.000000,55.4304,6.9288
financial_phrasebank,128,8178.8320,8232.0000,0.993541,1.000000,54.6057,6.8257
financial_phrasebank,256,15222.8560,15280.3333,0.996238,1.000000,54.7011,6.8376
gsm8k,16,3319.8220,3408.3333,0.974031,1.000000,867.0502,3.3869
gsm8k,32,6715.6553,6804.1667,0.986992,1.000000,858.3494,3.3533
gsm8k,64,13039.1553,13127.6667,0.993258,1.000000,865.4530,3.3843
gsm8k,128,25562.9887,25651.5000,0.996549,1.000000,858.2476,3.3525
gsm8k,256,51287.6553,51376.1667,0.998277,1.000000,860.1881,3.3648
raft,16,944.7451,979.8333,0.964190,0.000000,74.0599,2.1781
raft,32,1791.1019,1823.0000,0.982502,0.000000,107.2906,2.9507
raft,64,2288.8333,2306.1667,0.992484,1.000000,80.4601,10.0575
raft,128,2288.8333,2306.1667,0.992484,1.000000,77.6547,9.7068
raft,256,2288.8333,2306.1667,0.992484,1.000000,77.8994,9.7374
superglue_boolq,16,2615.8967,3090.8333,0.846340,1.000000,55.1017,6.8877
superglue_boolq,32,5129.2300,5604.1667,0.915253,1.000000,54.5961,6.8245
superglue_boolq,64,10701.3967,11176.3333,0.957505,1.000000,54.6342,6.8293
superglue_boolq,128,20995.2300,21470.1667,0.977879,1.000000,54.7223,6.8403
superglue_boolq,256,42752.7300,43227.6667,0.989013,1.000000,54.5669,6.8209
superglue_rte,16,1787.8847,1920.8333,0.930786,0.000000,83.7880,0.8703
superglue_rte,32,3329.0513,3462.0000,0.961598,1.000000,55.1693,6.8962
superglue_rte,64,6844.0513,6977.0000,0.980945,1.000000,54.5797,6.8225
superglue_rte,128,14004.3847,14137.3333,0.990596,1.000000,54.5211,6.8151
superglue_rte,256,26087.7180,26220.6667,0.994930,1.000000,54.5638,6.8205
